학교명,주소,행정구,행정동,주소_전처리,위도,경도
서울시립대학교,서울 동대문구 서울시립대로 163 (전농동 90번지) ,동대문구,휘경2동,서울 동대문구 서울시립대로 163,37.5825775765293,127.059988126984
서울여자간호대학교,서울 서대문구 홍제3동 서울여자간호대학,서대문구,홍제2동,서울 서대문구 홍제3동,37.5937821789849,126.949743382569
서울여자대학교,서울특별시 노원구 화랑로 621 서울여자대학교,노원구,공릉2동,서울특별시 노원구 화랑로 621,37.6273815936787,127.091621159803
서일대학교,서울 중랑구 서일대학길 22(면목동 49-3) 서일대학교,중랑구,면목제3.8동,서울 중랑구 서일대학길 22,37.606032,127.107575
성공회대학교,서울 구로구 항동 성공회대학교,구로구,오류2동,서울 구로구 항동,37.4801853131196,126.823409784343
성균관대학교,서울 종로구 명륜동3가 성균관대학교,종로구,종로1.2.3.4가동,서울 종로구,37.5735042429813,126.978989954189
성신여자대학교,서울 성북구 동선동3가 성신여자대학교,성북구,동선동,서울 성북구,37.5893588153919,127.016702905651
세종대학교,서울 광진구 군자동 세종대학교,광진구,군자동,서울 광진구 군자동,37.5554765598174,127.075350846159
숙명여자대학교,서울 용산구 청파로47길 100 숙명여자대학교,용산구,청파동,서울 용산구 청파로47,37.546282,126.964583
숭실대학교,서울 동작구 상도동 511 숭실대학교,동작구,상도1동,서울 동작구 상도동,37.4985163075707,126.939014238644
숭의여자대학교,서울특별시 중구 소파로2길 10(예장동),중구,필동,서울특별시 중구 소파로2,37.558241,126.968345
연세대학교,서울 서대문구 신촌동 연세대학교,서대문구,신촌동,서울 서대문구 신촌동,37.5651616940519,126.93927687604
이화여자대학교,서울 서대문구 대현동 11-1 이화여자대학교,서대문구,신촌동,서울 서대문구 대현동,37.5607686463542,126.947212193537
인덕대학교,서울 노원구 초안산로 12,노원구,월계2동,서울 노원구 초안산로 12,37.6302514486494,127.054448642206
장로회신학대학교,서울 광진구 광장로 5길 25-1(광장동) 장로회신학대학교,광진구,광장동,서울 광진구 광장로 5,37.545053,127.095449
